Archetype,FinalLevel,FinalBestRank,FinalBestTier,FirstMerge,FirstEpic,FirstLegendary,FirstMythic,TotalCatches,TotalUpgrades,TotalMerges,TotalQuests,CatchRate,StuckPerRun,GoldIn,GoldOut
FINAL (Optimal),39,18,Mythic,1,133.1,235.2,377.4,1466,1903,1456,817,94,0,71086,70989
FINAL (Casual),36.8,18,Mythic,1.3,159.2,273.7,438.1,1463,1488,1453,582,94,1.46,49335,49263
FINAL (Grinder),39.1,18,Mythic,1,133.7,235.1,360.8,1467,1912,1456,841,94,0,73451,73342
FINAL (Collector),30.1,16.7,Mythic,4.9,272,493.7,813.2,983,1727,972,442,94.1,0.2,30904,30834
